"","Avg All Points Corrected Slopes","Med All Points Corrected Slopes","All Points Corrected Slopes SD"
"1",-244.204196802074,-246.765636088492,197.194516518408
"2",-315.504349192883,-309.987773323019,240.47427629893
"3",-233.997581054078,-210.838181175155,215.03402465132
